Index,Bit
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,1
8,0
9,0
10,0
11,1
12,0
13,0
14,0
15,1
16,0
17,0
18,0
19,1
20,1
21,1
22,0
23,0
24,0
25,0
26,1
27,1
28,1
29,1
30,0
31,1
32,0
33,1
34,1
35,0
36,1
37,0
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,0
46,1
47,0
48,1
49,0
50,1
51,1
52,0
53,1
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,1
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,0
79,0
80,0
81,0
82,1
83,0
84,1
85,1
86,1
87,0
88,0
89,0
90,0
91,1
92,0
93,1
94,0
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,1
110,1
111,0
112,0
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,0
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,0
130,1
131,0
132,1
133,1
134,1
135,0
136,0
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,0
145,0
146,1
147,0
148,0
149,1
150,1
151,0
152,1
153,1
154,1
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,0
166,0
167,1
168,1
169,0
170,0
171,0
172,1
173,1
174,1
175,0
176,0
177,0
178,0
179,1
180,1
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,1
190,1
191,0
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,1
200,0
201,1
202,1
203,1
204,0
205,0
206,1
207,0
208,1
209,0
210,1
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,1
220,0
221,1
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,0
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,0
249,1
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,1
258,0
259,0
260,1
261,0
262,0
263,0
264,1
265,0
266,1
267,0
268,1
269,1
270,0
271,0
272,1
273,1
274,0
275,1
276,0
277,0
278,1
279,0
280,0
281,1
282,1
283,1
284,1
285,0
286,0
287,0
288,1
289,0
290,1
291,0
292,0
293,0
294,0
295,1
296,0
297,1
298,1
299,0
300,1
301,0
302,1
303,0
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,1
313,1
314,0
315,0
316,0
317,0
318,0
319,1
320,0
321,0
322,1
323,0
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,0
332,0
333,1
334,1
335,0
336,0
337,1
338,1
339,0
340,0
341,1
342,1
343,1
344,1
345,1
346,0
347,0
348,0
349,0
350,0
351,0
352,1
353,0
354,0
355,1
356,0
357,0
358,1
359,1
360,1
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,0
381,0
382,0
383,0
384,1
385,1
386,1
387,0
388,0
389,1
390,1
391,0
392,0
393,0
394,1
395,0
396,1
397,0
398,0
399,0
400,1
401,0
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,1
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,1
425,0
426,0
427,1
428,0
429,0
430,0
431,1
432,1
433,0
434,1
435,1
436,1
437,0
438,1
439,1
440,1
441,0
442,1
443,1
444,1
445,0
446,1
447,1
448,0
449,0
450,0
451,0
452,0
453,0
454,1
455,0
456,0
457,1
458,0
459,1
460,0
461,0
462,0
463,1
464,1
465,0
466,0
467,0
468,0
469,0
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,1
478,0
479,0
480,1
481,1
482,0
483,0
484,0
485,1
486,0
487,1
488,0
489,0
490,1
491,0
492,0
493,1
494,1
495,1
496,1
497,0
498,0
499,1
500,1
501,0
502,0
503,1
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,1
516,1
517,0
518,0
519,0
520,1
521,1
522,0
523,1
524,1
525,0
526,1
527,0
528,1
529,0
530,1
531,1
532,0
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,1
542,0
543,0
544,1
545,0
546,0
547,1
548,0
549,1
550,0
551,0
552,1
553,0
554,0
555,0
556,0
557,1
558,1
559,1
560,0
561,1
562,1
563,1
564,0
565,0
566,1
567,1
568,0
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,0
578,0
579,0
580,1
581,1
582,0
583,1
584,0
585,0
586,1
587,1
588,0
589,1
590,1
591,0
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,1
600,1
601,1
602,1
603,0
604,1
605,1
606,1
607,0
608,1
609,1
610,0
611,0
612,0
613,1
614,1
615,1
616,1
617,1
618,0
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,1
628,0
629,0
630,0
631,1
632,0
633,1
634,0
635,0
636,0
637,0
638,1
639,1
640,0
641,1
642,1
643,1
644,1
645,0
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,1
654,0
655,1
656,1
657,0
658,0
659,0
660,1
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,1
669,0
670,0
671,0
672,0
673,0
674,1
675,0
676,0
677,0
678,0
679,0
680,1
681,1
682,0
683,0
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,0
693,0
694,1
695,0
696,0
697,1
698,1
699,0
700,0
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,1
709,1
710,0
711,1
712,0
713,0
714,0
715,1
716,1
717,0
718,1
719,1
720,1
721,1
722,1
723,1
724,0
725,1
726,1
727,1
728,1
729,1
730,1
731,1
732,1
733,1
734,1
735,0
736,1
737,1
738,0
739,1
740,1
741,0
742,0
743,1
744,1
745,0
746,0
747,0
748,0
749,1
750,0
751,1
752,0
753,0
754,1
755,0
756,1
757,0
758,1
759,1
760,0
761,0
762,1
763,1
764,0
765,1
766,1
767,1
768,1
769,0
770,0
771,0
772,0
773,0
774,1
775,0
776,1
777,0
778,1
779,1
780,0
781,1
782,1
783,1
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,1
795,0
796,1
797,0
798,1
799,1
800,1
801,0
802,0
803,0
804,0
805,1
806,1
807,0
808,1
809,0
810,1
811,1
812,0
813,0
814,0
815,0
816,0
817,1
818,0
819,0
820,1
821,1
822,1
823,1
824,0
825,1
826,1
827,0
828,1
829,0
830,0
831,1
832,0
833,1
834,1
835,0
836,0
837,1
838,0
839,1
840,0
841,0
842,1
843,1
844,0
845,1
846,1
847,0
848,0
849,1
850,0
851,1
852,1
853,1
854,1
855,0
856,0
857,1
858,0
859,1
860,0
861,1
862,0
863,1
864,1
865,0
866,0
867,0
868,1
869,1
870,1
871,0
872,0
873,1
874,0
875,0
876,0
877,1
878,0
879,1
880,0
881,1
882,1
883,1
884,0
885,0
886,0
887,1
888,1
889,1
890,1
891,1
892,0
893,1
894,0
895,0
896,1
897,0
898,1
899,0
900,0
901,1
902,0
903,1
904,0
905,0
906,1
907,1
908,1
909,1
910,0
911,1
912,0
913,0
914,0
915,0
916,1
917,0
918,0
919,1
920,0
921,1
922,0
923,0
924,0
925,1
926,0
927,1
928,1
929,1
930,0
931,1
932,0
933,0
934,0
935,1
936,0
937,1
938,1
939,0
940,0
941,0
942,0
943,1
944,0
945,0
946,0
947,0
948,1
949,0
950,1
951,1
952,0
953,0
954,1
955,1
956,0
957,0
958,0
959,0
960,1
961,1
962,0
963,0
964,1
965,1
966,1
967,1
968,0
969,0
970,1
971,1
972,0
973,1
974,0
975,0
976,1
977,1
978,1
979,0
980,1
981,1
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
